nctid,restart_date,restart_status
NCT02481960,NA,NA
NCT03812679,NA,NA
NCT04153838,NA,NA
NCT01117779,NA,NA
NCT04366791,NA,NA
NCT02730793,NA,NA
NCT03090932,NA,NA
NCT03134027,NA,NA
NCT03431740,NA,NA
NCT03442985,NA,NA
NCT03508219,NA,NA
NCT03824704,NA,NA
NCT04026334,NA,NA
NCT04279665,NA,NA
NCT04341441,NA,NA
NCT02916472,NA,NA
NCT04209179,NA,NA
NCT00256776,NA,NA
NCT02177838,NA,NA
NCT03573336,NA,NA
NCT03795623,2023-01-31,COMPLETED
NCT03966989,NA,NA
NCT04552262,NA,NA
NCT03158116,NA,NA
NCT03334578,NA,NA
NCT03615989,NA,NA
NCT04060251,NA,NA
NCT04230564,NA,NA
NCT00904345,NA,NA
NCT03641430,NA,NA
NCT04258410,NA,NA
NCT04464525,NA,NA
NCT03964376,NA,NA
NCT03084510,NA,NA
NCT03368859,NA,NA
NCT04691726,2022-12-19,COMPLETED
NCT02272348,NA,NA
NCT02570438,NA,NA
NCT02931851,NA,NA
NCT04187612,2022-12-16,RECRUITING
NCT02734589,NA,NA
NCT03496298,NA,NA
NCT03730571,NA,NA
NCT03926598,2022-12-13,COMPLETED
NCT02591953,NA,NA
NCT03713684,NA,NA
NCT03770728,NA,NA
NCT03929601,2023-10-30,RECRUITING
NCT02212015,NA,NA
NCT03789487,NA,NA
NCT00794339,NA,NA
NCT03028740,NA,NA
NCT03059446,NA,NA
NCT03329378,NA,NA
NCT04017910,NA,NA
NCT04283526,NA,NA
NCT04008303,NA,NA
NCT01824823,NA,NA
NCT02111382,NA,NA
NCT03154710,NA,NA
NCT03582046,NA,NA
NCT03597347,NA,NA
NCT04194528,NA,NA
NCT04264156,NA,NA
NCT04372940,NA,NA
NCT04373603,NA,NA
NCT04589572,NA,NA
NCT02519738,NA,NA
NCT03421106,NA,NA
NCT03728205,NA,NA
NCT04189991,NA,NA
NCT04707638,NA,NA
NCT03040804,NA,NA
NCT03478904,NA,NA
NCT03978156,NA,NA
NCT04097353,NA,NA
NCT03042312,NA,NA
NCT03359174,NA,NA
NCT03751423,NA,NA
NCT03809663,NA,NA
NCT03971721,NA,NA
NCT02505204,NA,NA
NCT03806335,NA,NA
NCT03836989,NA,NA
NCT03299231,NA,NA
NCT04115644,NA,NA
NCT04197453,NA,NA
NCT02684617,NA,NA
NCT03224585,NA,NA
NCT03433755,NA,NA
NCT04720742,NA,NA
NCT03284203,NA,NA
NCT04184037,NA,NA
NCT04721171,NA,NA
NCT03739476,NA,NA
NCT03910439,NA,NA
NCT04181632,2023-03-28,COMPLETED
NCT04299802,NA,NA
NCT04724512,NA,NA
NCT01347541,NA,NA
NCT02510911,NA,NA
NCT02614157,NA,NA
NCT03051035,NA,NA
NCT03221842,NA,NA
NCT04245696,NA,NA
NCT04436120,NA,NA
NCT02021734,2023-12-12,ACTIVE_NOT_RECRUITING
NCT04536857,NA,NA
NCT02939859,NA,NA
NCT03238157,NA,NA
NCT03461419,NA,NA
NCT03773185,NA,NA
NCT03831594,NA,NA
NCT03909750,NA,NA
NCT03959046,NA,NA
NCT04000750,2023-02-08,COMPLETED
NCT03428815,NA,NA
NCT03540147,NA,NA
NCT03572478,NA,NA
NCT03703323,NA,NA
NCT04138524,NA,NA
NCT04165733,NA,NA
NCT04200300,NA,NA
NCT02525562,NA,NA
NCT03303469,NA,NA
NCT03980730,NA,NA
NCT04729088,NA,NA
NCT02747758,NA,NA
